"","Year","ImageDate","Subregion","Habitat","SiteCode","SiteID","SiteName","StationID","points","BOCT","EOCT","GVEN","OCTO","ProjectRegion","length","Depth","latDD","lonDD","latDeg","latMin","lonDeg","lonMin"
"1",2013,"6/20/2013","UK","P","9P3",32,"Porter Patch",321,1054,0.0911,0.0028,0.0028,0,"FKNMS","24",15,25.1032,-80.3243,25,6.192,-80,19.458
"2",2013,"6/20/2013","UK","P","9P3",32,"Porter Patch",322,971,0.139,0.0093,0.001,0,"FKNMS","23",14,25.1032,-80.3243,25,6.192,-80,19.458
"3",2013,"6/20/2013","UK","P","9P3",32,"Porter Patch",323,961,0.1332,0.001,0.0073,0,"FKNMS","23",16,25.1032,-80.3243,25,6.192,-80,19.458
"4",2013,"6/20/2013","UK","P","9P3",32,"Porter Patch",324,1041,0.1537,0.0077,0.0067,0,"FKNMS","25",17,25.1032,-80.3243,25,6.192,-80,19.458
"5",2013,"9/21/2013","UK","P","9P4",33,"Admiral",331,1018,0.055,0,0.0599,0,"FKNMS","25",6,25.0447,-80.3948,25,2.682,-80,23.688
"6",2013,"9/21/2013","UK","P","9P4",33,"Admiral",332,851,0.0588,0.0024,0.0423,0,"FKNMS","21",4,25.0447,-80.3948,25,2.682,-80,23.688
"7",2013,"9/21/2013","UK","P","9P4",33,"Admiral",333,896,0.0536,0.0011,0.0558,0,"FKNMS","23",5,25.0447,-80.3948,25,2.682,-80,23.688
"8",2013,"9/21/2013","UK","P","9P4",33,"Admiral",334,926,0.1393,0,0.0259,0,"FKNMS","23",3,25.0447,-80.3948,25,2.682,-80,23.688
"9",2013,"5/14/2013","MK","P","7P1",34,"West Turtle Shoal",341,1008,0.0774,0.0069,0.0754,0,"FKNMS","22",22,24.6993,-80.9669,24,41.958,-80,58.014
"10",2013,"5/14/2013","MK","P","7P1",34,"West Turtle Shoal",342,965,0.1316,0.0062,0.0798,0,"FKNMS","22",22,24.6993,-80.9669,24,41.958,-80,58.014
"11",2013,"5/14/2013","MK","P","7P1",34,"West Turtle Shoal",343,937,0.1067,0.0213,0.0971,0,"FKNMS","22",24,24.6993,-80.9669,24,41.958,-80,58.014
"12",2013,"5/14/2013","MK","P","7P1",34,"West Turtle Shoal",344,928,0.1325,0.0054,0.0668,0,"FKNMS","22",22,24.6993,-80.9669,24,41.958,-80,58.014
"13",2013,"5/7/2013","MK","P","7P2",35,"Dustan Rocks",351,1077,0.1458,0,0.0167,0,"FKNMS","22",14,24.6895,-81.0302,24,41.37,-81,1.812
"14",2013,"5/7/2013","MK","P","7P2",35,"Dustan Rocks",352,1110,0.1604,0.0018,0.0387,0,"FKNMS","22",15,24.6895,-81.0302,24,41.37,-81,1.812
"15",2013,"5/7/2013","MK","P","7P2",35,"Dustan Rocks",353,1140,0.1368,0.0018,0.0175,0,"FKNMS","22",17,24.6895,-81.0302,24,41.37,-81,1.812
"16",2013,"5/7/2013","MK","P","7P2",35,"Dustan Rocks",354,1119,0.1099,9e-04,0.0125,0,"FKNMS","22",21,24.6895,-81.0302,24,41.37,-81,1.812
