"Year","Date.x","Subregion","Habitat","SiteID","Site_name","StationID","SPP_Code","sciName","density","mean_height","sd","biomass","n","ProjectRegion","Site.Code","Depth","latDD","lonDD","latDeg","latMin","lonDeg","lonMin"
2012,"6/1/2012","DT","P",27,"The Maze",271,"GVEN","Gorgonia_ventalina",1.6,25.1875,14.4923830568567,403,16,"NPSDT","1PA",42,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",271,"AAME","Antillogorgia_americana",1.7,37.4117647058824,23.3159248785283,636,17,"NPSDT","1PA",42,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",271,"EFLE","Eunicea_flexuosa",1.4,10.2857142857143,8.34292488306083,144,14,"NPSDT","1PA",42,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",271,"ABIP","Antillogorgia_bipinnata",2.2,18.2272727272727,13.0235384635879,401,22,"NPSDT","1PA",42,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",271,"PPOR","Pseudoplexaura_porosa",0.3,NA,NA,NA,NA,"NPSDT","1PA",42,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",271,"TOCT","Total_Octocorals",7.5,NA,NA,NA,NA,"NPSDT","1PA",42,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",272,"GVEN","Gorgonia_ventalina",1.6,23.1875,13.8766890863779,371,16,"NPSDT","1PA",38,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",272,"AAME","Antillogorgia_americana",0.7,32.1428571428571,11.1269728052837,225,7,"NPSDT","1PA",38,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",272,"EFLE","Eunicea_flexuosa",1.5,17,14.397420403868,255,15,"NPSDT","1PA",38,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",272,"ABIP","Antillogorgia_bipinnata",0.6,18.3333333333333,9.70910225853383,110,6,"NPSDT","1PA",38,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",272,"PPOR","Pseudoplexaura_porosa",0,NA,NA,NA,NA,"NPSDT","1PA",38,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",272,"TOCT","Total_Octocorals",6,NA,NA,NA,NA,"NPSDT","1PA",38,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",273,"GVEN","Gorgonia_ventalina",0.1,13,NA,13,1,"NPSDT","1PA",41,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",273,"AAME","Antillogorgia_americana",0.5,32.6,15.4531550176655,163,5,"NPSDT","1PA",41,24.609,-82.9496,24,36.54,-82,56.976
2012,"6/1/2012","DT","P",27,"The Maze",273,"EFLE","Eunicea_flexuosa",0.2,35,9.89949493661167,70,2,"NPSDT","1PA",41,24.609,-82.9496,24,36.54,-82,56.976
