"","Year","ImageDate","Subregion","Habitat","SiteCode","SiteID","SiteName","StationID","points","BOCT","EOCT","GVEN","OCTO","ProjectRegion","length","Depth","latDD","lonDD","latDeg","latMin","lonDeg","lonMin"
"1",2013,"6/20/2013","UK","P","9P3",32,"Porter Patch",321,1054,0.0911,0.0028,0.0028,0.0967,"FKNMS","24",15,25.1032,-80.3243,25,6.192,-80,19.458
"2",2013,"6/20/2013","UK","P","9P3",32,"Porter Patch",322,971,0.139,0.0093,0.001,0.1493,"FKNMS","23",14,25.1032,-80.3243,25,6.192,-80,19.458
"3",2013,"6/20/2013","UK","P","9P3",32,"Porter Patch",323,961,0.1332,0.001,0.0073,0.1415,"FKNMS","23",16,25.1032,-80.3243,25,6.192,-80,19.458
"4",2013,"6/20/2013","UK","P","9P3",32,"Porter Patch",324,1041,0.1537,0.0077,0.0067,0.1681,"FKNMS","25",17,25.1032,-80.3243,25,6.192,-80,19.458
"5",2013,"9/21/2013","UK","P","9P4",33,"Admiral",331,1018,0.055,0,0.0599,0.1149,"FKNMS","25",6,25.0447,-80.3948,25,2.682,-80,23.688
"6",2013,"9/21/2013","UK","P","9P4",33,"Admiral",332,851,0.0588,0.0024,0.0423,0.1035,"FKNMS","21",4,25.0447,-80.3948,25,2.682,-80,23.688
"7",2013,"9/21/2013","UK","P","9P4",33,"Admiral",333,896,0.0536,0.0011,0.0558,0.1105,"FKNMS","23",5,25.0447,-80.3948,25,2.682,-80,23.688
"8",2013,"9/21/2013","UK","P","9P4",33,"Admiral",334,926,0.1393,0,0.0259,0.1652,"FKNMS","23",3,25.0447,-80.3948,25,2.682,-80,23.688
"9",2013,"5/14/2013","MK","P","7P1",34,"West Turtle Shoal",341,1008,0.0774,0.0069,0.0754,0.1597,"FKNMS","22",22,24.6993,-80.9669,24,41.958,-80,58.014
"10",2013,"5/14/2013","MK","P","7P1",34,"West Turtle Shoal",342,965,0.1316,0.0062,0.0798,0.2176,"FKNMS","22",22,24.6993,-80.9669,24,41.958,-80,58.014
"11",2013,"5/14/2013","MK","P","7P1",34,"West Turtle Shoal",343,937,0.1067,0.0213,0.0971,0.2251,"FKNMS","22",24,24.6993,-80.9669,24,41.958,-80,58.014
"12",2013,"5/14/2013","MK","P","7P1",34,"West Turtle Shoal",344,928,0.1325,0.0054,0.0668,0.2047,"FKNMS","22",22,24.6993,-80.9669,24,41.958,-80,58.014
"13",2013,"5/7/2013","MK","P","7P2",35,"Dustan Rocks",351,1077,0.1458,0,0.0167,0.1625,"FKNMS","22",14,24.6895,-81.0302,24,41.37,-81,1.812
"14",2013,"5/7/2013","MK","P","7P2",35,"Dustan Rocks",352,1110,0.1604,0.0018,0.0387,0.2009,"FKNMS","22",15,24.6895,-81.0302,24,41.37,-81,1.812
"15",2013,"5/7/2013","MK","P","7P2",35,"Dustan Rocks",353,1140,0.1368,0.0018,0.0175,0.1561,"FKNMS","22",17,24.6895,-81.0302,24,41.37,-81,1.812
"16",2013,"5/7/2013","MK","P","7P2",35,"Dustan Rocks",354,1119,0.1099,9e-04,0.0125,0.1233,"FKNMS","22",21,24.6895,-81.0302,24,41.37,-81,1.812
"17",2013,"7/17/2013","LK","P","5P1",36,"West Washer Women",361,1075,0.1935,0.0781,0.014,0.2856,"FKNMS","22",23,24.5475,-81.5866,24,32.85,-81,35.196
"18",2013,"7/17/2013","LK","P","5P1",36,"West Washer Women",362,1101,0.2125,0.0336,0.02,0.2661,"FKNMS","23",25,24.5475,-81.5866,24,32.85,-81,35.196
"19",2013,"7/17/2013","LK","P","5P1",36,"West Washer Women",363,1101,0.1508,0.02,0.0082,0.179,"FKNMS","23",24,24.5475,-81.5866,24,32.85,-81,35.196
"20",2013,"7/17/2013","LK","P","5P1",36,"West Washer Women",364,1006,0.159,0.1034,0.002,0.2644,"FKNMS","21",22,24.5475,-81.5866,24,32.85,-81,35.196
"21",2013,"7/16/2013","LK","P","5P3",38,"Cliff Green",381,1214,0.2241,0.0264,0.0247,0.2752,"FKNMS","25",26,24.5036,-81.7677,24,30.216,-81,46.062
"22",2013,"7/16/2013","LK","P","5P3",38,"Cliff Green",382,1148,0.2735,0.0331,0.0383,0.3449,"FKNMS","26",20,24.5036,-81.7677,24,30.216,-81,46.062
"23",2013,"7/16/2013","LK","P","5P3",38,"Cliff Green",383,977,0.2712,0.0215,0.0471,0.3398,"FKNMS","21",22,24.5036,-81.7677,24,30.216,-81,46.062
"24",2013,"7/16/2013","LK","P","5P3",38,"Cliff Green",384,1004,0.25,0.0518,0.0627,0.3645,"FKNMS","20",21,24.5036,-81.7677,24,30.216,-81,46.062
"25",2013,"9/22/2013","UK","OS","9S1",50,"Carysfort Shallow",501,919,0.0196,0,0.0664,0.086,"FKNMS","22",6,25.2201,-80.2105,25,13.206,-80,12.63
"26",2013,"9/22/2013","UK","OS","9S1",50,"Carysfort Shallow",502,909,0.0022,0,0.0308,0.033,"FKNMS","22",8,25.2208,-80.2107,25,13.248,-80,12.642
"27",2013,"9/22/2013","UK","OS","9S1",50,"Carysfort Shallow",503,913,0.1665,0.0011,0.0504,0.218,"FKNMS","22",8,25.2222,-80.2098,25,13.332,-80,12.588
"28",2013,"9/22/2013","UK","OS","9S1",50,"Carysfort Shallow",504,926,0.0637,0.0022,0.2171,0.283,"FKNMS","22",12,25.2222,-80.2098,25,13.332,-80,12.588
"29",2013,"6/18/2013","UK","OS","9S3",52,"Molasses Shallow",521,1010,0.1693,0.002,0.0911,0.2624,"FKNMS","23",19,25.0088,-80.3765,25,0.528,-80,22.59
"30",2013,"6/18/2013","UK","OS","9S3",52,"Molasses Shallow",522,1026,0.2125,0,0.0331,0.2456,"FKNMS","22",22,25.0091,-80.375,25,0.546,-80,22.5
"31",2013,"6/18/2013","UK","OS","9S3",52,"Molasses Shallow",523,1009,0.0614,0.004,0,0.0654,"FKNMS","21",23,25.0088,-80.3744,25,0.528,-80,22.464
"32",2013,"6/18/2013","UK","OS","9S3",52,"Molasses Shallow",524,1030,0.1117,0,0.0252,0.1369,"FKNMS","23",28,25.0097,-80.3745,25,0.582,-80,22.47
"33",2013,"6/21/2013","MK","OS","7S1",54,"Alligator Shallow",541,992,0.1956,0,0.003,0.1986,"FKNMS","22",16,24.8457,-80.624,24,50.742,-80,37.44
"34",2013,"6/21/2013","MK","OS","7S1",54,"Alligator Shallow",542,958,0.2056,0,0.0084,0.214,"FKNMS","22",16,24.8457,-80.624,24,50.742,-80,37.44
"35",2013,"6/21/2013","MK","OS","7S1",54,"Alligator Shallow",543,965,0.2041,0,0.0031,0.2072,"FKNMS","22",10,24.8468,-80.6227,24,50.808,-80,37.362
"36",2013,"6/21/2013","MK","OS","7S1",54,"Alligator Shallow",544,981,0.1468,0.001,0.0031,0.1509,"FKNMS","22",11,24.8468,-80.6227,24,50.808,-80,37.362
"37",2013,"5/16/2013","MK","OS","7S2",55,"Tennessee Shallow",551,870,0.1862,0.0011,0.0138,0.2011,"FKNMS","24",21,24.745,-80.7812,24,44.7,-80,46.872
"38",2013,"5/16/2013","MK","OS","7S2",55,"Tennessee Shallow",552,909,0.1848,0,0.0022,0.187,"FKNMS","23",21,24.745,-80.7812,24,44.7,-80,46.872
"39",2013,"5/16/2013","MK","OS","7S2",55,"Tennessee Shallow",553,860,0.2128,0,0.0047,0.2175,"FKNMS","23",21,24.745,-80.7812,24,44.7,-80,46.872
"40",2013,"5/16/2013","MK","OS","7S2",55,"Tennessee Shallow",554,883,0.2322,0,0.0091,0.2413,"FKNMS","22",21,24.745,-80.7812,24,44.7,-80,46.872
"41",2013,"5/8/2013","MK","OS","5S1",56,"Sombrero Shallow",561,819,0.1453,0.0024,0.0281,0.1758,"FKNMS","20",17,24.6253,-81.1116,24,37.518,-81,6.696
"42",2013,"5/8/2013","MK","OS","5S1",56,"Sombrero Shallow",562,716,0.1215,0.007,0.1047,0.2332,"FKNMS","20",17,24.6269,-81.1092,24,37.614,-81,6.552
"43",2013,"5/8/2013","MK","OS","5S1",56,"Sombrero Shallow",563,828,0.192,0.0012,0.0386,0.2318,"FKNMS","20",20,24.6258,-81.1092,24,37.548,-81,6.552
"44",2013,"5/8/2013","MK","OS","5S1",56,"Sombrero Shallow",564,946,0.0338,0,0.1268,0.1606,"FKNMS","20",9,24.6255,-81.1104,24,37.53,-81,6.624
"45",2013,"7/15/2013","LK","OS","5S4",59,"Western Sambo Shallow",591,1027,0.1577,0,0.0107,0.1684,"FKNMS","22",14,24.4796,-81.7176,24,28.776,-81,43.056
"46",2013,"7/15/2013","LK","OS","5S4",59,"Western Sambo Shallow",592,1207,0.1649,0,0.0431,0.208,"FKNMS","24",17,24.4796,-81.7176,24,28.776,-81,43.056
"47",2013,"7/15/2013","LK","OS","5S4",59,"Western Sambo Shallow",593,1200,0.09,0.005,0.06,0.155,"FKNMS","24",9,24.4798,-81.7158,24,28.788,-81,42.948
"48",2013,"7/15/2013","LK","OS","5S4",59,"Western Sambo Shallow",594,1005,0.0289,0,0.0428,0.0717,"FKNMS","21",9,24.4798,-81.7158,24,28.788,-81,42.948
"49",2013,"7/11/2013","LK","OS","2S1",61,"Sand Key Shallow",611,978,0.045,0,0.0133,0.0583,"FKNMS","22",21,24.452,-81.8775,24,27.12,-81,52.65
"50",2013,"7/11/2013","LK","OS","2S1",61,"Sand Key Shallow",612,976,0.1045,0,0.0328,0.1373,"FKNMS","22",18,24.452,-81.8775,24,27.12,-81,52.65
"51",2013,"7/11/2013","LK","OS","2S1",61,"Sand Key Shallow",613,985,0.1655,0.0071,0.0213,0.1939,"FKNMS","22",18,24.452,-81.8775,24,27.12,-81,52.65
"52",2013,"7/11/2013","LK","OS","2S1",61,"Sand Key Shallow",614,1008,0.1171,0,0.0308,0.1479,"FKNMS","21",21,24.452,-81.8775,24,27.12,-81,52.65
"53",2013,"7/19/2013","UK","OD","9D1",70,"Carysfort Deep",701,944,0.0742,0.0667,0,0.1409,"FKNMS","22",52,25.2208,-80.2099,25,13.248,-80,12.594
"54",2013,"7/19/2013","UK","OD","9D1",70,"Carysfort Deep",702,880,0.0602,0.1125,0,0.1727,"FKNMS","22",53,25.2208,-80.2099,25,13.248,-80,12.594
"55",2013,"7/19/2013","UK","OD","9D1",70,"Carysfort Deep",703,915,0.0568,0.0689,0.0011,0.1268,"FKNMS","22",47,25.2227,-80.2087,25,13.362,-80,12.522
"56",2013,"7/19/2013","UK","OD","9D1",70,"Carysfort Deep",704,910,0.0857,0.0736,0,0.1593,"FKNMS","22",44,25.2227,-80.2087,25,13.362,-80,12.522
"57",2013,"6/23/2013","UK","OD","9D3",72,"Molasses Deep",721,921,0.0879,0.0174,0.0239,0.1292,"FKNMS","22",44,25.0072,-80.3756,25,0.432,-80,22.536
"58",2013,"6/23/2013","UK","OD","9D3",72,"Molasses Deep",722,911,0.1251,0.0055,0.0099,0.1405,"FKNMS","22",44,25.0072,-80.3756,25,0.432,-80,22.536
"59",2013,"6/18/2013","UK","OD","9D3",72,"Molasses Deep",723,933,0.0965,0.0043,0.0054,0.1062,"FKNMS","22",47,25.0073,-80.3743,25,0.438,-80,22.458
"60",2013,"6/18/2013","UK","OD","9D3",72,"Molasses Deep",724,992,0.1079,0.0141,0.004,0.126,"FKNMS","23",49,25.0073,-80.3743,25,0.438,-80,22.458
"61",2013,"6/21/2013","MK","OD","7D1",74,"Alligator Deep",741,946,0.1237,0,0,0.1237,"FKNMS","22",37,24.8452,-80.6209,24,50.712,-80,37.254
"62",2013,"6/21/2013","MK","OD","7D1",74,"Alligator Deep",742,950,0.0758,0.0011,0,0.0769,"FKNMS","22",38,24.8452,-80.6209,24,50.712,-80,37.254
"63",2013,"6/21/2013","MK","OD","7D1",74,"Alligator Deep",743,1036,0.1284,0,0,0.1284,"FKNMS","24",38,24.8452,-80.6209,24,50.712,-80,37.254
"64",2013,"6/21/2013","MK","OD","7D1",74,"Alligator Deep",744,997,0.0903,0,0.002,0.0923,"FKNMS","23",36,24.8452,-80.6209,24,50.712,-80,37.254
"65",2013,"5/13/2013","MK","OD","7D2",75,"Tennessee Deep",751,907,0.1213,0.0066,0.0143,0.1422,"FKNMS","23",44,24.7527,-80.7578,24,45.162,-80,45.468
"66",2013,"5/13/2013","MK","OD","7D2",75,"Tennessee Deep",752,870,0.0483,0,0.0126,0.0609,"FKNMS","23",44,24.7527,-80.7578,24,45.162,-80,45.468
"67",2013,"5/13/2013","MK","OD","7D2",75,"Tennessee Deep",753,869,0.0829,0.0023,0.0219,0.1071,"FKNMS","22",44,24.7527,-80.7578,24,45.162,-80,45.468
