Year,Date,Subregion,Habitat,SiteID,SiteName,StationID,SPP_Code,sciName,Height(cm)
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,34
2011,6/29/2011,DT,P,27,The Maze,271,PFLE,Eunicea flexuosa,14
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,4
2011,6/29/2011,DT,P,27,The Maze,271,PFLE,Eunicea flexuosa,35
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,25
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,30
2011,6/29/2011,DT,P,27,The Maze,271,PFLE,Eunicea flexuosa,10
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,41
2011,6/29/2011,DT,P,27,The Maze,271,PFLE,Eunicea flexuosa,12
2011,6/29/2011,DT,P,27,The Maze,271,PFLE,Eunicea flexuosa,8
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,10
2011,6/29/2011,DT,P,27,The Maze,271,PFLE,Eunicea flexuosa,15
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,50
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,25
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,20
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,10
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,35
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,39
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,30
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,31
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,24
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,18
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,28
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,26
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,11
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,22
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,60
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,15
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,70
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,50
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,54
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,48
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,66
2011,6/29/2011,DT,P,27,The Maze,271,PAME,Pseudopterogorgia americana,9
2011,6/29/2011,DT,P,27,The Maze,271,GVEN,Gorgonia ventalina,15
2011,6/29/2011,DT,P,27,The Maze,272,PFLE,Eunicea flexuosa,17
2011,6/29/2011,DT,P,27,The Maze,272,PPOR,Pseudoplexaura porosa,4
2011,6/29/2011,DT,P,27,The Maze,272,GVEN,Gorgonia ventalina,30
2011,6/29/2011,DT,P,27,The Maze,272,GVEN,Gorgonia ventalina,8
2011,6/29/2011,DT,P,27,The Maze,272,PFLE,Eunicea flexuosa,45
2011,6/29/2011,DT,P,27,The Maze,272,GVEN,Gorgonia ventalina,55
