ProjectRegion,Site Code,siteid,sitename,stationid,habitatid,length,offshoreDepth,latDD,lonDD,latDeg,latMin,lonDeg,lonMin
FKNMS,9P4,33,Admiral,331,P,25,6,25.0447,-80.3948,25,2.682,-80,23.688
FKNMS,9P4,33,Admiral,332,P,21,4,25.0447,-80.3948,25,2.682,-80,23.688
FKNMS,9P4,33,Admiral,333,P,23,5,25.0447,-80.3948,25,2.682,-80,23.688
FKNMS,9P4,33,Admiral,334,P,23,3,25.0447,-80.3948,25,2.682,-80,23.688
FKNMS,7D1,74,Alligator Deep,741,OD,22,37,24.8452,-80.6209,24,50.712,-80,37.254
FKNMS,7D1,74,Alligator Deep,742,OD,22,38,24.8452,-80.6209,24,50.712,-80,37.254
FKNMS,7D1,74,Alligator Deep,743,OD,24,38,24.8452,-80.6209,24,50.712,-80,37.254
FKNMS,7D1,74,Alligator Deep,744,OD,23,36,24.8452,-80.6209,24,50.712,-80,37.254
FKNMS,7S1,54,Alligator Shallow,541,OS,22,16,24.8457,-80.624,24,50.742,-80,37.44
FKNMS,7S1,54,Alligator Shallow,542,OS,22,16,24.8457,-80.624,24,50.742,-80,37.44
FKNMS,7S1,54,Alligator Shallow,543,OS,22,10,24.8468,-80.6227,24,50.808,-80,37.362
FKNMS,7S1,54,Alligator Shallow,544,OS,22,11,24.8468,-80.6227,24,50.808,-80,37.362
NPSDT/FKNMS,1D1,82,Bird Key Reef,821,OD,22,45,24.6117,-82.8702,24,36.702,-82,52.212
NPSDT/FKNMS,1D1,82,Bird Key Reef,822,OD,22,40,24.6117,-82.8702,24,36.702,-82,52.212
NPSDT/FKNMS,1D1,82,Bird Key Reef,823,OD,23,43,24.6117,-82.8702,24,36.702,-82,52.212
NPSDT/FKNMS,1D1,82,Bird Key Reef,824,OD,25,45,24.6117,-82.8702,24,36.702,-82,52.212
FKNMS,1D2,83,Black Coral Rock,831,OD,19,71,24.6993,-83.0022,24,41.958,-83,0.132
FKNMS,1D2,83,Black Coral Rock,832,OD,19,70,24.6993,-83.0022,24,41.958,-83,0.132
FKNMS,1D2,83,Black Coral Rock,833,OD,20,71,24.6993,-83.0022,24,41.958,-83,0.132
FKNMS,1D2,83,Black Coral Rock,834,OD,20,71,24.6993,-83.0022,24,41.958,-83,0.132
SECREMP,BC1,87,Broward County 1,871,1R,22,25,26.1479,-80.0959,26,8.874,-80,5.754
SECREMP,BC1,87,Broward County 1,872,1R,22,25,26.1479,-80.0959,26,8.874,-80,5.754
SECREMP,BC1,87,Broward County 1,873,1R,22,25,26.1479,-80.0959,26,8.874,-80,5.754
SECREMP,BC1,87,Broward County 1,874,1R,22,25,26.1479,-80.0959,26,8.874,-80,5.754
SECREMP,BC2,88,Broward County 2,881,2R,22,40,26.1599,-80.0825,26,9.594,-80,4.95
SECREMP,BC2,88,Broward County 2,882,2R,22,40,26.1599,-80.0825,26,9.594,-80,4.95
SECREMP,BC2,88,Broward County 2,883,2R,22,40,26.1599,-80.0825,26,9.594,-80,4.95
SECREMP,BC2,88,Broward County 2,884,2R,22,40,26.1599,-80.0825,26,9.594,-80,4.95
SECREMP,BC3,89,Broward County 3,891,3R,22,55,26.1586,-80.0773,26,9.516,-80,4.638
SECREMP,BC3,89,Broward County 3,892,3R,22,55,26.1586,-80.0773,26,9.516,-80,4.638
SECREMP,BC3,89,Broward County 3,893,3R,22,55,26.1586,-80.0773,26,9.516,-80,4.638
SECREMP,BC3,89,Broward County 3,894,3R,22,55,26.1586,-80.0773,26,9.516,-80,4.638
SECREMP,BC4,1,Broward County 4,11,1R,22,25,26.1494,-80.0894,26,8.964,-80,5.364
SECREMP,BC4,1,Broward County 4,12,1R,22,25,26.1494,-80.0894,26,8.964,-80,5.364
SECREMP,BC4,1,Broward County 4,13,1R,22,25,26.1494,-80.0894,26,8.964,-80,5.364
SECREMP,BC4,1,Broward County 4,14,1R,22,25,26.1494,-80.0894,26,8.964,-80,5.364
SECREMP,BC5,2,Broward County 5,21,2R,22,45,26.3019,-80.0682,26,18.114,-80,4.092
SECREMP,BC5,2,Broward County 5,22,2R,22,45,26.3019,-80.0682,26,18.114,-80,4.092
SECREMP,BC5,2,Broward County 5,23,2R,22,45,26.3019,-80.0682,26,18.114,-80,4.092
SECREMP,BC5,2,Broward County 5,24,2R,22,45,26.3019,-80.0682,26,18.114,-80,4.092
SECREMP,BC6,3,Broward County 6,31,3R,22,55,26.3011,-80.0609,26,18.066,-80,3.654
SECREMP,BC6,3,Broward County 6,32,3R,22,55,26.3011,-80.0609,26,18.066,-80,3.654
SECREMP,BC6,3,Broward County 6,33,3R,22,55,26.3011,-80.0609,26,18.066,-80,3.654
SECREMP,BC6,3,Broward County 6,34,3R,22,55,26.3011,-80.0609,26,18.066,-80,3.654
SECREMP,BCA,90,Broward County A,901,NS,22,25,26.1498,-80.0968,26,8.988,-80,5.808
SECREMP,BCA,90,Broward County A,902,NS,22,25,26.1498,-80.0968,26,8.988,-80,5.808
SECREMP,BCA,90,Broward County A,903,NS,22,25,26.1498,-80.0968,26,8.988,-80,5.808
SECREMP,BCA,90,Broward County A,904,NS,22,25,26.1498,-80.0968,26,8.988,-80,5.808
FKNMS,9P6,22,Burr Fish,221,P,22,15,24.9992,-80.4669,24,59.952,-80,28.014
FKNMS,9P6,22,Burr Fish,222,P,20,17,24.9992,-80.4669,24,59.952,-80,28.014
FKNMS,9P6,22,Burr Fish,223,P,22,15,24.9992,-80.4669,24,59.952,-80,28.014
FKNMS,9P6,22,Burr Fish,224,P,22,15,24.9992,-80.4669,24,59.952,-80,28.014
FKNMS,9D1,70,Carysfort Deep,701,OD,22,52,25.2208,-80.2099,25,13.248,-80,12.594
FKNMS,9D1,70,Carysfort Deep,702,OD,22,53,25.2208,-80.2099,25,13.248,-80,12.594
FKNMS,9D1,70,Carysfort Deep,703,OD,22,47,25.2227,-80.2087,25,13.362,-80,12.522
FKNMS,9D1,70,Carysfort Deep,704,OD,22,44,25.2227,-80.2087,25,13.362,-80,12.522
FKNMS,9S1,50,Carysfort Shallow,501,OS,22,6,25.2201,-80.2105,25,13.206,-80,12.63
FKNMS,9S1,50,Carysfort Shallow,502,OS,22,8,25.2208,-80.2107,25,13.248,-80,12.642
FKNMS,9S1,50,Carysfort Shallow,503,OS,22,8,25.2222,-80.2098,25,13.332,-80,12.588
FKNMS,9S1,50,Carysfort Shallow,504,OS,22,12,25.2222,-80.2098,25,13.332,-80,12.588
FKNMS,5P3,38,Cliff Green,381,P,25,26,24.5036,-81.7677,24,30.216,-81,46.062
