SampleYear,ImageDate,Subregion,Habitat,SiteCode,SiteID,SiteName,StationID,Surveyed_all_years?,points,BOCT,EOCT,GVEN,OCTO
1996,7/25/1996,UK,HB,9H1,10,Rattlesnake,101,N,479,,,,0.023
1996,7/25/1996,UK,HB,9H1,10,Rattlesnake,102,N,525,,,,0.04
1996,7/25/1996,UK,HB,9H1,10,Rattlesnake,103,N,558,,,,0.0412
1996,7/25/1996,UK,HB,9H1,10,Rattlesnake,104,N,446,,,,0.0493
1996,7/22/1996,UK,HB,9H2,11,El Radabob,111,N,450,,,,0.0067
1996,7/22/1996,UK,HB,9H2,11,El Radabob,112,N,421,,,,0.0119
1996,7/22/1996,UK,HB,9H2,11,El Radabob,113,N,468,,,,0.0021
1996,7/22/1996,UK,HB,9H2,11,El Radabob,114,N,445,,,,0
1996,8/14/1996,UK,HB,9H3,12,Dove Key,121,N,586,,,,0.0205
1996,8/14/1996,UK,HB,9H3,12,Dove Key,122,N,578,,,,0.0121
1996,8/14/1996,UK,HB,9H3,12,Dove Key,123,N,590,,,,0.0136
1996,8/14/1996,UK,HB,9H3,12,Dove Key,124,N,599,,,,0.0083
1996,8/15/1996,MK,HB,7H2,14,Long Key,141,N,498,,,,0.1165
1996,8/15/1996,MK,HB,7H2,14,Long Key,142,N,562,,,,0.0925
1996,8/15/1996,MK,HB,7H2,14,Long Key,143,N,584,,,,0.149
1996,8/15/1996,MK,HB,7H2,14,Long Key,144,N,570,,,,0.1421
1996,8/21/1996,MK,HB,5H1,15,Moser Channel,151,N,734,,,,0.1322
1996,8/21/1996,MK,HB,5H1,15,Moser Channel,152,N,625,,,,0.064
1996,8/21/1996,MK,HB,5H1,15,Moser Channel,153,N,615,,,,0.1382
1996,8/21/1996,MK,HB,5H1,15,Moser Channel,154,N,600,,,,0.09
1996,8/19/1996,MK,HB,5H2,16,Molasses Keys,161,N,567,,,,0.0176
1996,8/19/1996,MK,HB,5H2,16,Molasses Keys,162,N,538,,,,0.0204
1996,8/19/1996,MK,HB,5H2,16,Molasses Keys,163,N,526,,,,0.0209
1996,8/19/1996,MK,HB,5H2,16,Molasses Keys,164,N,494,,,,0.0526
1996,9/10/1996,LK,BCP,3H1,18,Content Keys,181,Y,584,,,,0
1996,9/10/1996,LK,BCP,3H1,18,Content Keys,182,N,678,,,,0
1996,9/10/1996,LK,BCP,3H1,18,Content Keys,183,Y,590,,,,0
1996,9/10/1996,LK,BCP,3H1,18,Content Keys,184,Y,580,,,,0
1996,7/24/1996,UK,P,9P1,30,Turtle,301,Y,599,,,,0.3907
1996,7/24/1996,UK,P,9P1,30,Turtle,302,Y,407,,,,0.3538
1996,7/25/1996,UK,P,9P1,30,Turtle,303,N,505,,,,0.3545
1996,7/25/1996,UK,P,9P1,30,Turtle,304,N,476,,,,0.3782
1996,7/19/1996,UK,P,9P3,32,Porter Patch,321,Y,585,,,,0.147
1996,7/19/1996,UK,P,9P3,32,Porter Patch,322,Y,501,,,,0.1577
1996,7/19/1996,UK,P,9P3,32,Porter Patch,323,Y,540,,,,0.0926
1996,7/19/1996,UK,P,9P3,32,Porter Patch,324,N,590,,,,0.139
1996,7/23/1996,UK,P,9P4,33,Admiral,331,Y,594,,,,0.2003
1996,7/23/1996,UK,P,9P4,33,Admiral,332,Y,539,,,,0.1169
1996,7/23/1996,UK,P,9P4,33,Admiral,333,Y,549,,,,0.2732
1996,7/23/1996,UK,P,9P4,33,Admiral,334,Y,567,,,,0.4444
1996,8/27/1996,MK,P,7P1,34,West Turtle Shoal,341,Y,481,,,,0.2141
1996,8/27/1996,MK,P,7P1,34,West Turtle Shoal,342,Y,603,,,,0.3267
1996,8/17/1996,MK,P,7P1,34,West Turtle Shoal,343,Y,600,,,,0.2983
1996,8/27/1996,MK,P,7P1,34,West Turtle Shoal,344,Y,512,,,,0.3496
1996,8/20/1996,MK,P,7P2,35,Dustan Rocks,351,N,560,,,,0.4982
1996,8/20/1996,MK,P,7P2,35,Dustan Rocks,352,Y,502,,,,0.3466
1996,8/20/1996,MK,P,7P2,35,Dustan Rocks,353,Y,577,,,,0.2253
1996,8/20/1996,MK,P,7P2,35,Dustan Rocks,354,Y,558,,,,0.4194
1996,9/10/1996,LK,P,5P1,36,West Washer Women,361,Y,624,,,,0.1827
1996,9/10/1996,LK,P,5P1,36,West Washer Women,362,N,567,,,,0.1446
1996,9/10/1996,LK,P,5P1,36,West Washer Women,363,Y,593,,,,0.1551
